url,title,release_date,director,producer,starring,language,imdb_link,tmdb_link
https://oldnothi.bfa.gov.bd/film-details/145,Shahi Khandan,28 September 1987,,,"Sohel Rana, Anju Ghosh",Bengali,https://imdb.com/title/tt14417034,
https://oldnothi.bfa.gov.bd/film-details/144,Somman,11 September 1987,,,"Razzak, Shabna, Sujan",Bengali,https://imdb.com/title/tt6213422,
https://oldnothi.bfa.gov.bd/film-details/147,Dayi Ke,25 September 1987,,,"Iliyas Kanjan, Anju Ghosh",Bengali,https://imdb.com/title/tt1340138,
https://oldnothi.bfa.gov.bd/film-details/149,Rongin Kanchon Mala,01 January 1988,,,"Rozina, Sattar,  Nishat",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/148,Humki,02 October 1987,,,"Sohel Rana, Rozina",Bengali,https://imdb.com/title/tt0076167,
https://oldnothi.bfa.gov.bd/film-details/150,Rongin Adil,08 January 1988,,,"Jashim,  Shuchorita, Iliyas Kanchan, Nuton",Bengali,https://imdb.com/title/tt0063696,
https://oldnothi.bfa.gov.bd/film-details/151,Moshal,08 January 1988,,,"Faruk,  Sunetra, Zafor Iqbal, Shuchorita",,https://imdb.com/title/tt17490712,
https://oldnothi.bfa.gov.bd/film-details/152,Miya Bibi,22 January 1988,,,"Shabana, Alamgir",Bengali,https://imdb.com/title/tt0364524,
https://oldnothi.bfa.gov.bd/film-details/153,Nitiban (Rongin),05 February 1988,,,"Razzak,Iliyas Kanchan, Nuton",Bengali,https://imdb.com/title/tt7728166,
https://oldnothi.bfa.gov.bd/film-details/154,Kortobyo,05 February 1988,,,"Faruk, Anju Ghosh, Probir Mitro",Bengali,https://imdb.com/title/tt0028390,
https://oldnothi.bfa.gov.bd/film-details/155,Tolpar  (Rongin),04 March 1988,,,"Moushami,  Kabir  Anowar",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/156,Hushiar (Rongin),04 March 1988,,,"Jashim, Anjanna, Kalpana",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/157,Nag Jyoti (Rongin),11 March 1988,,,"Zinat, Subrata",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/160,Milon Tara (Rongin),25 March 1988,,,"Nasrin, Jasim",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/158,Hire Moti (Rongin),18 March 1988,,,"Diti, Shohel Chowdhury",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/159,Veja Chokh (Rongin),25 March 1988,,,"Illias Kanchan, Champa, Nisha",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/163,Jogajog (Rongin),08 April 1988,,,"Razzak, Sobnom, Zafor Iqbal",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/161,Kusumpurer Kodom Ali,01 April 1988,,,"Razzak, Anju Ghosh",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/162,Khoj Khobor,01 April 1988,,,"Sohel rana, Doyel",Bengali,https://imdb.com/title/tt0060196,
https://oldnothi.bfa.gov.bd/film-details/167,Bishwas Ghatak,19 May 1988,,,"Shabana, Alamgir, Jasim",Bengali,https://imdb.com/title/tt31812440,
https://oldnothi.bfa.gov.bd/film-details/164,Hero (Rongin),08 April 1988,,,"Jasim, Nasrin, Anju Ghosh",Bengali,https://imdb.com/title/tt15527234,
https://oldnothi.bfa.gov.bd/film-details/168,Amar (Rongin),19 May 1988,,,"Shabana, Alamgir",Bengali,https://imdb.com/title/tt0366050,
https://oldnothi.bfa.gov.bd/film-details/165,Porbod (Rongin),08 April 1988,,,"Wasim, Aniu Ghosh, Shoel Chowdhury",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/166,Bir Purush,19 May 1988,,,"Sohel Rana, Suchorita",Bengali,https://imdb.com/title/tt4048902,
https://oldnothi.bfa.gov.bd/film-details/169,Bibad (Rongin),19 May 1988,,,"Mahmud Koli, Anju Ghosh",Bengali,https://imdb.com/title/tt1796492,
https://oldnothi.bfa.gov.bd/film-details/171,Sarpo Rani (Rongin),03 June 1988,,,"Illias Kanchan, Sunatra",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/177,Stree (Rongin),10 June 1988,Ikram Biju,দি প্রেডিউমাস্ক,"Sohel Rana, Subarna",Bengali,https://imdb.com/title/tt0360944,
https://oldnothi.bfa.gov.bd/film-details/170,Baper Beta (Rongin),27 May 1988,,,"Mahmoud Koli, Anjana",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/173,Obodan (Rongin),03 June 1988,,,"Shabana, Jasim, Zafor Iqbal",Bengali,https://imdb.com/title/tt0011012,
https://oldnothi.bfa.gov.bd/film-details/179,Shuktara,17 June 1988,Zillur Rahman,Kunjo Kathachitra,"Zafor Iqbal, Sunetra",Bengali,https://imdb.com/title/tt6730340,
https://oldnothi.bfa.gov.bd/film-details/178,Dui Jibon (Rongin),10 June 1988,Abdullah Al Mamun,Chetana Cinema,"Kobari, Bulbul Ahmed, Diti",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/182,Jobor Dosto (Rongin),24 June 1988,Nazmul Huda Mintu,B.F.M Production,"Wasim, Suchorita",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/180,Jadu Mohol,14 June 1988,Swapon Saha,F. P Films,"Faruk, Anju Ghosh",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/181,Prahari (Rongin),24 June 1988,Al Masud,Dhaka Movies International,"Sohel Rana, Nuton",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/185,Ashroy,05 August 1988,Mustafa Anowar,Alpana Kathachitra,"Razzak, Suchorita",Bengali,https://imdb.com/title/tt21281498,
https://oldnothi.bfa.gov.bd/film-details/183,Arpon (Rongin),22 July 1988,Sujata,Sufol Kathachitra,"Razzak, Babita",Bengali,https://imdb.com/title/tt6788570,
https://oldnothi.bfa.gov.bd/film-details/184,Taka Poysa,22 July 1988,Motaleb Hossain,Marina Movies,"Jasim, Rozina",Bengali,https://imdb.com/title/tt34575862,
https://oldnothi.bfa.gov.bd/film-details/186,Mora Manush  Khela,29 July 1988,Ananda,Ananda Cinema,"Faruk, Anju Ghosh",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/187,Bahar,19 August 1988,Sajeed Ranju,S. R Production,"Wasim, Anju Ghosh",Bengali,,https://www.themoviedb.org/movie/414911
https://oldnothi.bfa.gov.bd/film-details/189,Maron pon (Rongin),02 September 1988,Zahirul Haque,777 Films Production,"Wasim, Anju Ghosh",Bengali,,
https://oldnothi.bfa.gov.bd/film-details/191,Agni Konya,14 October 1988,Kamal Ahmed,Jagoroni,"Razzak, Shabana, Alamgir",Bengali,https://imdb.com/title/tt5580036,
https://oldnothi.bfa.gov.bd/film-details/188,Rikshawala,30 September 1988,Azharul Islam,A. R Films,"Zafor Iqbal, Diti",Bengali,https://imdb.com/title/tt27485211,
https://oldnothi.bfa.gov.bd/film-details/192,Pothe Holo Dekha,21 October 1988,Hafiz Uddin,H.B Production,"Alamgir, Anjana",Bengali,https://imdb.com/title/tt1071338,
https://oldnothi.bfa.gov.bd/film-details/193,Musa Bhai,01 January 2007,M B Manik,S.K Movies  International,"Manna, Nadi, Prabir Mitra",Bengali,https://imdb.com/title/tt4045450,
https://oldnothi.bfa.gov.bd/film-details/190,Bolban (Rongin),14 October 1988,Abdul Latif Bachchu,Latif Pictures,"Nuton, Sabita, Zahid, Mustofa",Bengali,https://imdb.com/title/tt1167445,
https://oldnothi.bfa.gov.bd/film-details/195,Nishiddho Prem,01 January 2007,Zillur Rahman,Nayan Apon Movie,"Alekjender Bo, Shilpa, Omar Sunny",Bengali,https://imdb.com/title/tt4532922,
